"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-29","14.32"," 0102"," 0102","0.00","0.0","1.0",,"37","27","  290","  310","0.0","32.0","36.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-30","10.96"," 2024"," 2301","0.00","0.0","0.0",,"35","28","  290","  290","0.0","25.1","29.1",,,,,,,,"    1",,,,,,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-01-31","16.11"," 1206"," 1011","0.00","0.0","0.0",,"28","21","  290","  310","0.0","25.1","30.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-01","10.29"," 1501"," 1500","0.00","0.0","0.0",,"53","28","  260","  270","0.0","21.0","28.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-02","7.38"," 2014"," 1900","0.00","0.0","0.0",,"52","33","   10","  360","0.0","19.9","25.9",,,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-03","12.30"," 1545"," 1544","0.25","2.5","0.0",,"37","26","  360","  360","0.0","19.9","23.9","    1",,,,,,,,,,"    1",,,"    1",,"    1",,"    1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-04","13.20"," 2139"," 2239","0.00","0.0","3.0",,"31","18","  320","  320","0.0","25.1","30.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-05","16.55"," 1546"," 1538","0.00","0.0","1.0",,"24","14","  320","  320","0.0","25.9","30.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-06","7.61"," 0005"," 0005","0.00","0.0","1.0",,"32","17","  300","  300","0.0","19.9","25.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-07","6.26"," 2343"," 2308","0.00","0.0","0.0",,"49","24","  240","  210","0.0","17.0","21.9",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-08","16.11"," 1015"," 1015","0.00","0.0","0.0",,"59","38","  260","  260","0.0","30.0","38.0",,,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-09","9.17"," 0222"," 0222","0.00","0.0","0.0",,"46","35","  320","  310","0.0","21.0","25.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-10","5.59"," 1425"," 1425","0.00","0.0","0.0",,"50","33","  170","  170","0.0","17.9","21.0",,,,,,,,"    1",,,,,,,,,,
